company_code,posting_date,document_id,line_id,gl_account,cost_center,amount,currency,debit_credit,booking_text,vendor_id,customer_id,tax_code
1000,2025-06-01,1800000191,1,6700,CC-500,3302.28,EUR,D,Office rent,V-1004,,
1000,2025-06-01,1800000191,2,1000,,3302.28,EUR,C,Office rent,V-1004,,
1000,2025-06-02,1800000013,1,3300,,275.2,EUR,D,Vendor payment,V-1007,,
1000,2025-06-02,1800000013,2,1000,,275.2,EUR,C,Vendor payment,V-1007,,
1000,2025-06-02,1800000118,1,1400,,4317.88,EUR,D,Sales invoice Bergkristall,,C-2001,A1
1000,2025-06-02,1800000118,2,4000,,3598.23,EUR,C,Sales invoice Bergkristall,,C-2001,A1
1000,2025-06-02,1800000118,3,1786,,719.65,EUR,C,Output tax - Sales invoice Bergkristall,,C-2001,A1
1000,2025-06-02,1800000126,1,3300,,3332.53,EUR,D,Vendor payment,V-1005,,
1000,2025-06-02,1800000126,2,1000,,3332.53,EUR,C,Vendor payment,V-1005,,
1000,2025-06-02,1800000133,1,6880,CC-200,466.3,EUR,D,Insurance premium,V-1006,,V1
1000,2025-06-02,1800000133,2,1576,,93.26,EUR,D,Input tax - Insurance premium,V-1006,,V1
1000,2025-06-02,1800000133,3,3300,,559.56,EUR,C,Insurance premium,V-1006,,V1
1000,2025-06-02,1800000146,1,6870,CC-200,2104.38,EUR,D,Legal consulting fee,V-1007,,V0
1000,2025-06-02,1800000146,2,3300,,2104.38,EUR,C,Legal consulting fee,V-1007,,V0
1000,2025-06-02,1800000176,1,1400,,3631.04,EUR,D,Sales invoice Waldwiese,,C-2003,A1
1000,2025-06-02,1800000176,2,4000,,3025.87,EUR,C,Sales invoice Waldwiese,,C-2003,A1
1000,2025-06-02,1800000176,3,1786,,605.17,EUR,C,Output tax - Sales invoice Waldwiese,,C-2003,A1
1000,2025-06-02,1800000207,1,5400,CC-300,1989.61,EUR,D,Freight charges inbound,V-1005,,V1
1000,2025-06-02,1800000207,2,1576,,397.92,EUR,D,Input tax - Freight charges inbound,V-1005,,V1
1000,2025-06-02,1800000207,3,3300,,2387.53,EUR,C,Freight charges inbound,V-1005,,V1
1000,2025-06-02,1800000211,1,6900,CC-100,2002.13,EUR,D,Advertising campaign,V-1010,,V1
1000,2025-06-02,1800000211,2,1576,,400.43,EUR,D,Input tax - Advertising campaign,V-1010,,V1
1000,2025-06-02,1800000211,3,3300,,2402.56,EUR,C,Advertising campaign,V-1010,,V1
1000,2025-06-03,1800000016,1,3300,,2089.19,EUR,D,Vendor payment,V-1005,,
1000,2025-06-03,1800000016,2,1000,,2089.19,EUR,C,Vendor payment,V-1005,,
1000,2025-06-03,1800000067,1,1400,,3860.23,EUR,D,Sales invoice Feldstern,,C-2004,A1
1000,2025-06-03,1800000067,2,4000,,3216.86,EUR,C,Sales invoice Feldstern,,C-2004,A1
1000,2025-06-03,1800000067,3,1786,,643.37,EUR,C,Output tax - Sales invoice Feldstern,,C-2004,A1
1000,2025-06-03,1800000136,1,1000,,4436.4,EUR,D,Customer payment received,,C-2002,
1000,2025-06-03,1800000136,2,1400,,4436.4,EUR,C,Customer payment received,,C-2002,
1000,2025-06-03,1800000177,1,1400,,3181.15,EUR,D,Sales invoice Talblick,,C-2005,A1
1000,2025-06-03,1800000177,2,4000,,2650.96,EUR,C,Sales invoice Talblick,,C-2005,A1
1000,2025-06-03,1800000177,3,1786,,530.19,EUR,C,Output tax - Sales invoice Talblick,,C-2005,A1
1000,2025-06-03,1800000184,1,6820,CC-500,3142.01,EUR,D,Cleaning service,V-1002,,V1
1000,2025-06-03,1800000184,2,1576,,628.4,EUR,D,Input tax - Cleaning service,V-1002,,V1
1000,2025-06-03,1800000184,3,3300,,3770.41,EUR,C,Cleaning service,V-1002,,V1
1000,2025-06-03,1800000208,1,5400,CC-300,1989.61,EUR,D,Freight charges inbound,V-1005,,V1
1000,2025-06-03,1800000208,2,1576,,397.92,EUR,D,Input tax - Freight charges inbound,V-1005,,V1
1000,2025-06-03,1800000208,3,3300,,2387.53,EUR,C,Freight charges inbound,V-1005,,V1
1000,2025-06-04,1800000072,1,6000,CC-300,3361.78,EUR,D,Monthly wages,V-1004,,V1
1000,2025-06-04,1800000072,2,1576,,672.36,EUR,D,Input tax - Monthly wages,V-1004,,V1
1000,2025-06-04,1800000072,3,3300,,4034.14,EUR,C,Monthly wages,V-1004,,V1
1000,2025-06-04,1800000095,1,6850,CC-300,3583.29,EUR,D,Vehicle fleet service,V-1009,,V1
1000,2025-06-04,1800000095,2,1576,,716.66,EUR,D,Input tax - Vehicle fleet service,V-1009,,V1
1000,2025-06-04,1800000095,3,3300,,4299.95,EUR,C,Vehicle fleet service,V-1009,,V1
1000,2025-06-04,1800000097,1,3300,,2079.68,EUR,D,Vendor payment,V-1001,,
1000,2025-06-04,1800000097,2,1000,,2079.68,EUR,C,Vendor payment,V-1001,,
1000,2025-06-04,1800000114,1,6820,CC-500,1562.79,EUR,D,Cleaning service,V-1002,,V1
1000,2025-06-04,1800000114,2,1576,,312.56,EUR,D,Input tax - Cleaning service,V-1002,,V1
1000,2025-06-04,1800000114,3,3300,,1875.35,EUR,C,Cleaning service,V-1002,,V1
